faminc,cigprice,bwght,motheduc,male,cigs
13.5,122.300003051758,109,12.0,1,0
7.5,122.300003051758,133,12.0,1,0
0.5,122.300003051758,129,12.0,0,0
15.5,122.300003051758,126,12.0,1,0
27.5,122.300003051758,134,12.0,1,0
7.5,122.300003051758,118,14.0,1,0
65.0,122.300003051758,140,14.0,0,0
27.5,122.300003051758,86,14.0,0,0
27.5,122.300003051758,121,17.0,0,0
37.5,122.300003051758,129,18.0,0,0
27.5,122.300003051758,101,16.0,1,0
27.5,122.300003051758,133,15.0,1,0
6.5,122.300003051758,61,12.0,1,0
10.5,122.300003051758,104,12.0,1,0
12.5,122.300003051758,92,12.0,1,0
17.5,122.300003051758,122,13.0,1,0
42.5,122.300003051758,159,16.0,1,0
4.5,122.300003051758,154,11.0,0,0
32.5,122.300003051758,120,16.0,1,0
6.5,122.300003051758,138,11.0,0,0
47.5,122.300003051758,127,17.0,0,0
22.5,122.300003051758,107,12.0,1,0
15.5,122.300003051758,129,11.0,1,6
13.5,122.300003051758,129,12.0,0,0
37.5,122.300003051758,156,11.0,0,0
2.5,122.300003051758,124,12.0,1,0
2.5,122.300003051758,79,12.0,1,0
32.5,122.300003051758,112,12.0,1,0
22.5,122.300003051758,124,12.0,1,0
0.5,125.599998474121,134,12.0,1,0
65.0,125.599998474121,114,12.0,0,0
65.0,125.599998474121,124,13.0,1,0
65.0,125.599998474121,122,16.0,1,0
27.5,125.599998474121,104,10.0,0,0
7.5,125.599998474121,105,8.0,0,0
47.5,125.599998474121,113,16.0,1,0
65.0,125.599998474121,131,12.0,1,0
65.0,125.599998474121,107,14.0,0,0
32.5,125.599998474121,115,9.0,1,0
13.5,125.599998474121,97,13.0,0,0
65.0,125.599998474121,106,12.0,1,0
47.5,125.599998474121,132,12.0,1,0
37.5,125.599998474121,108,16.0,1,0
32.5,125.599998474121,114,14.0,1,0
18.5,125.599998474121,134,12.0,1,0
65.0,125.599998474121,134,16.0,0,0
65.0,125.599998474121,141,16.0,1,0
11.5,125.599998474121,84,12.0,1,0
32.5,125.599998474121,88,13.0,1,0
65.0,125.599998474121,130,18.0,1,0
17.5,125.599998474121,132,12.0,1,0
16.5,125.599998474121,133,13.0,1,0
22.5,125.599998474121,108,12.0,0,0
42.5,125.599998474121,92,14.0,0,0
32.5,125.599998474121,127,14.0,1,0
11.5,125.599998474121,131,9.0,1,0
65.0,125.599998474121,104,15.0,0,0
27.5,125.599998474121,122,12.0,0,0
27.5,125.599998474121,97,12.0,1,0
17.5,125.599998474121,122,16.0,0,0
65.0,125.599998474121,118,13.0,1,0
3.5,125.599998474121,140,12.0,1,0
0.5,125.599998474121,131,12.0,0,0
0.5,125.599998474121,104,12.0,0,10
3.5,125.599998474121,114,11.0,0,0
65.0,125.599998474121,141,13.0,0,0
22.5,125.599998474121,107,12.0,0,0
22.5,127.699996948242,152,10.0,1,0
7.5,127.699996948242,119,10.0,1,20
27.5,127.699996948242,135,12.0,0,0
18.5,127.699996948242,138,10.0,0,0
37.5,127.699996948242,108,16.0,1,0
22.5,127.699996948242,97,12.0,0,0
27.5,127.699996948242,131,12.0,1,0
18.5,127.699996948242,115,12.0,0,40
22.5,127.699996948242,123,14.0,1,0
0.5,127.699996948242,115,10.0,0,0
32.5,127.699996948242,132,16.0,0,0
27.5,127.699996948242,133,13.0,1,0
32.5,127.699996948242,125,12.0,0,0
15.5,127.699996948242,117,12.0,1,0
16.5,127.699996948242,116,13.0,1,0
19.5,127.699996948242,152,18.0,1,0
15.5,127.699996948242,101,10.0,0,0
14.5,127.699996948242,107,12.0,1,0
32.5,127.699996948242,136,14.0,0,0
14.5,127.699996948242,120,9.0,0,0
8.5,127.699996948242,127,18.0,1,0
8.5,127.699996948242,123,8.0,1,0
7.5,127.699996948242,135,12.0,1,0
32.5,127.699996948242,86,15.0,1,0
65.0,127.699996948242,97,16.0,1,0
7.5,127.699996948242,93,12.0,1,10
27.5,127.699996948242,96,12.0,0,0
13.5,127.699996948242,109,8.0,0,10
27.5,127.699996948242,117,11.0,1,0
18.5,127.699996948242,115,12.0,0,0
22.5,126.400001525879,121,12.0,1,20
65.0,126.400001525879,114,17.0,0,0
22.5,126.400001525879,118,6.0,0,0
42.5,126.400001525879,134,16.0,0,0
37.5,126.400001525879,156,15.0,1,0
11.5,126.400001525879,139,12.0,0,3
65.0,126.400001525879,136,18.0,1,0
7.5,126.400001525879,115,11.0,1,0
22.5,126.400001525879,23,12.0,1,0
65.0,126.400001525879,135,12.0,0,0
27.5,126.400001525879,106,13.0,1,10
7.5,126.400001525879,116,10.0,1,0
65.0,126.400001525879,147,16.0,1,0
8.5,126.400001525879,115,10.0,0,0
12.5,126.400001525879,85,12.0,0,0
37.5,126.400001525879,102,17.0,1,0
14.5,126.400001525879,122,12.0,0,0
65.0,126.400001525879,109,16.0,1,0
37.5,126.400001525879,97,11.0,0,20
27.5,126.400001525879,136,17.0,0,0
65.0,126.400001525879,131,12.0,0,0
32.5,126.400001525879,116,12.0,1,0
6.5,126.400001525879,86,12.0,1,0
65.0,126.400001525879,155,16.0,1,0
6.5,126.400001525879,122,10.0,1,40
65.0,126.400001525879,105,16.0,0,0
65.0,126.400001525879,131,16.0,1,0
7.5,126.400001525879,126,11.0,0,0
17.5,126.400001525879,127,10.0,1,0
27.5,126.400001525879,125,18.0,1,0
37.5,126.400001525879,98,16.0,1,0
22.5,126.400001525879,144,13.0,0,0
22.5,126.400001525879,91,13.0,0,0
65.0,126.400001525879,106,16.0,0,0
42.5,126.400001525879,128,12.0,1,0
2.5,126.400001525879,144,12.0,1,0
10.5,126.400001525879,91,10.0,0,0
42.5,126.400001525879,122,12.0,1,0
14.5,126.400001525879,139,12.0,0,0
42.5,126.400001525879,126,12.0,0,0
32.5,126.400001525879,107,18.0,1,0
3.5,126.400001525879,79,12.0,1,0
42.5,126.400001525879,102,12.0,1,0
15.5,126.400001525879,126,16.0,1,0
32.5,126.400001525879,120,12.0,0,0
19.5,126.400001525879,101,12.0,1,0
42.5,126.400001525879,131,12.0,1,0
65.0,126.400001525879,128,14.0,0,0
13.5,126.400001525879,142,12.0,1,0
27.5,126.400001525879,144,12.0,1,0
42.5,126.400001525879,58,15.0,0,0
5.5,126.400001525879,88,12.0,1,0
5.5,126.400001525879,123,12.0,0,0
65.0,126.400001525879,146,13.0,0,0
22.5,126.400001525879,135,13.0,1,0
18.5,126.400001525879,125,12.0,0,0
27.5,126.400001525879,125,12.0,0,0
65.0,126.400001525879,99,16.0,1,0
32.5,126.400001525879,120,12.0,1,4
22.5,126.400001525879,114,7.0,0,0
37.5,126.400001525879,88,12.0,0,0
65.0,126.400001525879,106,15.0,1,0
1.5,126.400001525879,123,13.0,0,0
27.5,126.400001525879,135,13.0,1,0
47.5,126.400001525879,116,12.0,1,0
32.5,126.400001525879,128,13.0,1,0
65.0,126.400001525879,111,15.0,0,0
8.5,126.400001525879,123,14.0,0,0
65.0,126.400001525879,115,17.0,1,0
27.5,126.400001525879,167,12.0,1,0
37.5,126.400001525879,82,12.0,0,0
37.5,126.400001525879,121,16.0,1,0
22.5,126.400001525879,114,6.0,1,0
37.5,126.400001525879,116,15.0,1,0
8.5,126.400001525879,141,12.0,1,5
42.5,126.400001525879,141,12.0,1,0
65.0,126.400001525879,120,16.0,0,0
12.5,126.400001525879,110,13.0,0,0
27.5,126.400001525879,120,14.0,0,0
27.5,126.400001525879,125,18.0,1,0
65.0,126.400001525879,82,11.0,0,0
22.5,126.400001525879,141,12.0,0,0
18.5,126.400001525879,144,8.0,1,0
13.5,126.400001525879,102,12.0,0,0
18.5,126.400001525879,121,10.0,1,0
27.5,126.400001525879,80,12.0,0,0
22.5,126.400001525879,106,12.0,0,0
65.0,126.400001525879,116,12.0,0,0
32.5,126.400001525879,116,12.0,0,10
22.5,126.400001525879,123,13.0,1,0
37.5,126.400001525879,132,15.0,0,0
47.5,126.400001525879,118,10.0,1,20
65.0,126.400001525879,131,17.0,1,0
32.5,126.400001525879,152,14.0,1,0
10.5,126.400001525879,120,12.0,1,0
22.5,126.400001525879,145,12.0,0,0
37.5,126.400001525879,124,16.0,1,0
65.0,126.400001525879,142,9.0,1,0
65.0,126.400001525879,117,18.0,0,0
10.5,126.400001525879,100,7.0,0,0
32.5,126.400001525879,120,13.0,1,0
32.5,126.400001525879,145,13.0,1,0
65.0,126.400001525879,123,16.0,1,0
47.5,126.400001525879,166,14.0,1,0
32.5,126.400001525879,103,14.0,0,8
6.5,126.400001525879,133,10.0,1,0
12.5,126.400001525879,112,7.0,0,0
47.5,126.400001525879,119,11.0,1,0
19.5,126.400001525879,123,12.0,1,0
8.5,126.400001525879,145,9.0,1,0
19.5,126.400001525879,133,14.0,0,0
65.0,126.400001525879,146,13.0,1,0
32.5,126.400001525879,134,14.0,0,0
65.0,126.400001525879,140,14.0,1,0
19.5,126.400001525879,95,12.0,0,0
17.5,126.400001525879,126,13.0,0,0
27.5,126.400001525879,134,15.0,0,0
12.5,126.400001525879,64,7.0,1,0
27.5,126.400001525879,119,15.0,0,4
32.5,126.400001525879,140,16.0,1,0
22.5,126.400001525879,120,6.0,0,0
18.5,126.400001525879,103,14.0,0,0
32.5,126.400001525879,68,12.0,1,20
42.5,126.400001525879,97,12.0,0,0
37.5,126.400001525879,120,12.0,0,0
32.5,126.400001525879,121,14.0,0,0
9.5,126.400001525879,130,8.0,1,0
15.5,126.400001525879,115,12.0,0,10
65.0,126.400001525879,112,18.0,1,0
65.0,126.400001525879,120,12.0,1,0
22.5,126.400001525879,103,13.0,0,12
32.5,126.400001525879,100,12.0,0,0
65.0,126.400001525879,117,16.0,0,0
65.0,126.400001525879,126,18.0,0,0
5.5,126.400001525879,142,13.0,1,0
22.5,126.400001525879,120,13.0,1,0
13.5,126.400001525879,111,4.0,1,0
65.0,126.400001525879,152,12.0,1,0
65.0,126.400001525879,124,17.0,0,0
27.5,126.400001525879,146,12.0,1,0
27.5,126.400001525879,102,16.0,1,0
27.5,126.400001525879,129,6.0,1,0
10.5,126.400001525879,125,12.0,1,0
9.5,126.400001525879,126,14.0,0,0
0.5,126.400001525879,101,3.0,0,0
32.5,126.400001525879,113,12.0,1,0
19.5,126.400001525879,136,12.0,0,0
42.5,126.400001525879,101,9.0,0,0
65.0,126.400001525879,106,18.0,1,0
65.0,126.400001525879,100,18.0,0,0
42.5,126.400001525879,130,14.0,0,0
37.5,126.400001525879,136,12.0,0,0
6.5,126.400001525879,100,10.0,1,0
65.0,126.400001525879,122,16.0,0,0
1.5,126.400001525879,90,11.0,0,0
65.0,130.800003051758,94,12.0,0,0
32.5,130.800003051758,108,13.0,1,0
65.0,130.800003051758,107,18.0,1,0
17.5,130.800003051758,119,12.0,1,20
18.5,130.800003051758,106,12.0,0,0
13.5,130.800003051758,113,12.0,1,0
10.5,130.800003051758,132,12.0,1,0
18.5,130.800003051758,99,9.0,0,0
13.5,130.800003051758,110,11.0,0,10
32.5,130.800003051758,76,18.0,0,10
15.5,130.800003051758,123,12.0,1,0
10.5,130.800003051758,123,12.0,1,0
32.5,130.800003051758,129,12.0,1,0
13.5,130.800003051758,95,11.0,1,0
16.5,130.800003051758,118,13.0,1,0
6.5,130.800003051758,115,12.0,0,20
8.5,130.800003051758,133,11.0,1,0
22.5,130.800003051758,139,13.0,1,0
27.5,130.800003051758,124,18.0,1,0
12.5,142.0,60,10.0,1,20
19.5,142.0,87,12.0,0,0
65.0,142.0,130,16.0,1,0
65.0,142.0,110,16.0,1,0
15.5,142.0,73,12.0,0,0
37.5,142.0,126,11.0,1,0
47.5,142.0,125,13.0,1,0
47.5,142.0,166,13.0,0,0
37.5,142.0,122,13.0,0,0
32.5,142.0,120,12.0,1,4
65.0,142.0,143,16.0,0,0
27.5,142.0,122,12.0,1,0
65.0,142.0,106,16.0,1,0
65.0,142.0,126,18.0,0,0
32.5,142.0,156,14.0,0,0
22.5,142.0,129,8.0,1,0
17.5,142.0,120,6.0,0,0
32.5,124.0,113,12.0,1,1
65.0,124.0,81,15.0,0,0
37.5,124.0,83,14.0,0,0
37.5,135.899993896484,129,12.0,0,0
14.5,135.899993896484,133,12.0,1,0
18.5,139.800003051758,112,16.0,0,20
65.0,139.800003051758,119,13.0,1,0
47.5,139.800003051758,139,12.0,0,0
27.5,139.800003051758,111,14.0,0,0
27.5,139.800003051758,81,12.0,0,40
27.5,139.800003051758,127,12.0,0,0
22.5,139.800003051758,119,11.0,0,0
32.5,139.800003051758,107,12.0,0,0
3.5,139.800003051758,98,10.0,0,20
18.5,139.800003051758,113,13.0,0,10
19.5,139.800003051758,104,16.0,1,0
32.5,139.800003051758,108,12.0,0,0
22.5,139.800003051758,144,12.0,1,0
65.0,139.800003051758,110,14.0,1,0
65.0,139.800003051758,138,13.0,0,0
14.5,139.800003051758,107,10.0,0,0
65.0,139.800003051758,128,13.0,0,0
14.5,139.800003051758,144,12.0,1,10
37.5,139.800003051758,136,16.0,1,0
13.5,139.800003051758,110,14.0,1,0
4.5,139.800003051758,105,10.0,1,20
22.5,139.800003051758,124,12.0,0,0
37.5,139.800003051758,117,16.0,1,0
65.0,139.800003051758,145,12.0,1,0
11.5,139.800003051758,96,12.0,1,0
22.5,139.800003051758,140,14.0,0,0
65.0,139.800003051758,101,16.0,1,0
37.5,139.800003051758,148,12.0,1,0
10.5,139.800003051758,135,14.0,1,0
37.5,139.800003051758,120,14.0,0,0
22.5,139.800003051758,130,12.0,0,0
15.5,139.800003051758,134,12.0,1,0
65.0,139.800003051758,128,15.0,1,0
0.5,139.800003051758,111,10.0,1,15
32.5,122.400001525879,128,12.0,0,0
10.5,122.400001525879,134,12.0,1,0
22.5,122.400001525879,141,12.0,1,0
47.5,122.400001525879,115,12.0,0,0
27.5,122.400001525879,98,12.0,1,0
65.0,122.400001525879,118,16.0,0,0
47.5,122.400001525879,130,18.0,0,0
4.5,122.400001525879,136,12.0,1,0
8.5,122.400001525879,129,12.0,1,0
47.5,122.400001525879,93,17.0,1,0
12.5,122.400001525879,91,11.0,1,20
65.0,122.400001525879,110,14.0,0,0
9.5,122.400001525879,112,10.0,0,0
37.5,122.400001525879,112,12.0,1,20
27.5,122.400001525879,98,12.0,0,12
65.0,122.400001525879,147,14.0,0,0
7.5,122.400001525879,92,9.0,0,8
65.0,149.100006103516,98,12.0,0,0
47.5,149.100006103516,98,13.0,0,0
65.0,133.600006103516,137,16.0,0,0
42.5,133.600006103516,113,16.0,1,0
27.5,133.600006103516,137,12.0,1,0
37.5,133.600006103516,71,12.0,0,15
47.5,133.600006103516,129,16.0,0,0
2.5,133.600006103516,149,9.0,0,10
7.5,133.600006103516,124,12.0,0,0
6.5,133.600006103516,138,12.0,0,0
37.5,133.600006103516,128,12.0,1,0
32.5,133.600006103516,122,12.0,0,10
47.5,132.699996948242,118,5.0,0,0
42.5,132.699996948242,128,12.0,0,0
9.5,132.699996948242,142,8.0,0,20
47.5,132.699996948242,127,17.0,1,0
65.0,132.699996948242,112,18.0,1,0
22.5,132.699996948242,113,14.0,1,0
42.5,132.699996948242,112,14.0,0,0
37.5,132.699996948242,82,14.0,0,0
19.5,132.699996948242,141,12.0,0,0
42.5,132.699996948242,107,15.0,1,0
14.5,132.699996948242,117,12.0,0,0
37.5,132.699996948242,127,16.0,1,0
7.5,132.699996948242,133,13.0,1,0
37.5,132.699996948242,118,18.0,1,0
32.5,132.699996948242,144,12.0,0,0
9.5,132.699996948242,109,11.0,0,0
65.0,132.699996948242,79,13.0,1,0
32.5,132.699996948242,124,13.0,1,0
5.5,132.699996948242,130,9.0,0,10
42.5,132.699996948242,271,14.0,0,0
22.5,132.699996948242,160,13.0,1,0
42.5,132.699996948242,127,17.0,1,0
7.5,132.699996948242,108,11.0,1,0
13.5,132.699996948242,90,16.0,0,0
27.5,132.699996948242,140,12.0,1,0
42.5,132.699996948242,126,13.0,0,0
32.5,132.699996948242,110,12.0,1,0
32.5,132.699996948242,127,12.0,1,0
5.5,132.699996948242,101,12.0,1,0
47.5,132.699996948242,92,16.0,0,0
47.5,132.699996948242,121,13.0,1,0
42.5,132.699996948242,102,16.0,1,0
37.5,132.699996948242,125,10.0,1,0
32.5,132.699996948242,141,15.0,1,0
65.0,132.699996948242,121,12.0,0,0
47.5,132.699996948242,127,16.0,1,0
42.5,132.699996948242,119,14.0,1,0
27.5,132.699996948242,106,12.0,0,0
17.5,132.699996948242,105,12.0,0,0
18.5,132.699996948242,104,11.0,0,0
42.5,132.699996948242,131,15.0,1,0
37.5,132.699996948242,96,12.0,1,0
42.5,132.699996948242,141,14.0,0,0
32.5,132.699996948242,93,11.0,0,0
2.5,132.699996948242,114,12.0,0,0
18.5,132.699996948242,112,12.0,1,0
4.5,132.699996948242,138,12.0,1,0
22.5,132.699996948242,136,14.0,1,0
4.5,132.699996948242,113,12.0,0,20
27.5,132.699996948242,105,12.0,1,0
19.5,132.699996948242,120,12.0,1,0
27.5,119.0,35,16.0,0,0
19.5,119.0,149,12.0,0,0
18.5,119.0,122,13.0,1,0
22.5,119.0,146,15.0,1,0
22.5,119.0,161,12.0,1,0
1.5,119.0,142,12.0,1,20
4.5,119.0,119,12.0,1,0
3.5,119.0,83,12.0,0,4
3.5,119.0,136,14.0,1,0
42.5,119.0,116,13.0,0,0
37.5,119.0,93,12.0,0,0
22.5,119.0,110,12.0,0,0
37.5,119.0,124,17.0,0,0
15.5,119.0,123,12.0,1,0
27.5,119.0,129,12.0,0,0
32.5,119.0,106,12.0,0,0
22.5,119.0,130,12.0,1,0
